match_id,home,away,home_score,away_score,market,line,side,avg_odds,n_bookies
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,1x2,0,home,1.53,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,1x2,0,draw,4.9,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,1x2,0,away,6.6,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,0.50,over,1.04,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,0.50,under,24.0,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,1.50,over,1.19,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,1.50,under,5.8,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,2.50,over,1.59,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,2.50,under,2.6,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,3.50,over,2.5,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,3.50,under,1.63,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,4.50,over,4.6,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,4.50,under,1.25,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,5.50,over,9.8,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,5.50,under,1.1,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,6.50,over,22.0,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,6.50,under,1.03,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,ou,7.50,over,50.0,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0,home,1.22,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0,away,5.31,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0.50,home,1.17,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0.50,away,6.63,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-0.50,home,1.53,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-0.50,away,2.85,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0.75,home,1.11,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0.75,away,8.92,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-0.75,home,1.64,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-0.75,away,2.51,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.00,home,1.04,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.00,away,14.33,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.00,home,1.81,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.00,away,2.16,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.25,home,1.04,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.25,away,15.01,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.25,home,2.08,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.25,away,1.87,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.50,home,1.04,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.50,away,15.7,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.50,home,2.34,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.50,away,1.69,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.75,home,1.02,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,1.75,away,15.7,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.75,home,2.7,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-1.75,away,1.5,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.00,home,3.32,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.00,away,1.32,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.25,home,3.63,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.25,away,1.26,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.50,home,3.94,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.50,away,1.22,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.75,home,4.89,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-2.75,away,1.16,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.00,home,6.55,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.00,away,1.1,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.25,home,5.62,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.25,away,1.09,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.50,home,5.84,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.50,away,1.08,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.75,home,7.09,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-3.75,away,1.06,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-4.00,home,7.09,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-4.00,away,1.03,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0.25,home,1.19,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,0.25,away,5.97,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-0.25,home,1.37,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,hc,-0.25,away,3.59,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,dc,0,home/draw,1.17,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,dc,0,home/away,1.25,1
SCHczQx9,Cercle Brugge KSV,Patro Eisden,3,3,dc,0,draw/away,2.84,1
E1BtnNrL,Patro Eisden,Sporting Lokeren,1,1,1x2,0,home,2.18,1
E1BtnNrL,Patro Eisden,Sporting Lokeren,1,1,1x2,0,draw,3.7,1
E1BtnNrL,Patro Eisden,Sporting Lokeren,1,1,1x2,0,away,3.5,1
E1BtnNrL,Patro Eisden,Sporting Lokeren,1,1,ou,0.50,over,1.07,1
E1BtnNrL,Patro Eisden,Sporting Lokeren,1,1,ou,0.50,under,12.0,1
E1BtnNrL,Patro Eisden,Sporting Lokeren,1,1,ou,1.50,over,1.31,1
